task_id,task_type,criticality,data_size_kb,deadline_ms,vehicle_speed_kmph,current_location,network_condition,edge_node_distance_km,computation_intensity_flops,cost_weight_preference,time_of_day,mobility_pattern,rule_based_alpha,context_text,llm_priority_score
1,Navigation,Medium,1743,800,83,Rural,Poor,1.7,3449410466,Latency-Oriented,Peak,High-Mobility,0.18,Route recalculation needed due to road closure ahead. Vehicle speed: 83 km/h.,0.654
2,V2X Communication,Medium,1732,500,87,Rural,Excellent,8.43,4236019167,Balanced,Off-Peak,High-Mobility,0.55,Vehicle-to-infrastructure alert for intersection in Rural area. Network: Excellent.,0.654
3,Diagnostics,Medium,4802,800,68,Highway,Poor,8.48,5863297086,Cost-Sensitive,Peak,Stable,0.98,Predictive maintenance for battery while vehicle moves at 68 km/h. Network condition: Poor.,0.45
4,V2X Communication,Low,169,100,33,Rural,Excellent,9.56,540275932,Latency-Oriented,Peak,Stable,0.94,Vehicle-to-pedestrian alert for hazard in Rural area. Network: Excellent.,0.658
5,V2X Communication,Low,880,300,5,Urban,Good,1.63,8420332995,Cost-Sensitive,Off-Peak,Stable,0.04,Vehicle-to-pedestrian alert for hazard in Urban area. Network: Good.,0.689
6,Infotainment,High,3725,500,52,Urban,Congested,6.27,2600403081,Cost-Sensitive,Off-Peak,Stable,0.16,Video playback requested while vehicle is moving in urban area. User is cost-sensitive.,0.476
7,Diagnostics,High,1419,500,65,Highway,Excellent,4.79,5880523712,Balanced,Peak,Stable,0.13,Predictive maintenance for battery while vehicle moves at 65 km/h. Network condition: Excellent.,0.874
8,Diagnostics,Low,790,500,76,Highway,Poor,3.51,7061779161,Balanced,Off-Peak,Stable,0.73,Predictive maintenance for brakes while vehicle moves at 76 km/h. Network condition: Poor.,0.458
9,Diagnostics,Medium,166,1000,106,Highway,Good,3.58,8138189361,Balanced,Off-Peak,Stable,0.82,Predictive maintenance for brakes while vehicle moves at 106 km/h. Network condition: Good.,0.753
10,V2X Communication,High,2888,500,42,Rural,Excellent,4.19,8576070591,Balanced,Off-Peak,Stable,0.21,Vehicle-to-pedestrian alert for hazard in Rural area. Network: Excellent.,0.856
11,Navigation,Low,1200,800,111,Urban,Fair,7.08,9248650722,Latency-Oriented,Peak,Stable,0.51,Route recalculation needed due to road closure ahead. Vehicle speed: 111 km/h.,0.456
12,Diagnostics,Low,1981,500,74,Urban,Congested,6.02,195019914,Latency-Oriented,Peak,High-Mobility,0.84,Predictive maintenance for brakes while vehicle moves at 74 km/h. Network condition: Congested.,0.653
13,V2X Communication,Low,1062,200,114,Rural,Excellent,4.65,1489895301,Balanced,Off-Peak,High-Mobility,0.73,Vehicle-to-infrastructure alert for intersection in Rural area. Network: Excellent.,0.625
14,Infotainment,Medium,1714,300,110,Urban,Good,0.85,5570184877,Latency-Oriented,Off-Peak,High-Mobility,0.54,Music streaming requested while vehicle is moving in urban area. User is latency-oriented.,0.456
15,Navigation,Low,1131,500,22,Highway,Fair,0.87,8677584412,Balanced,Off-Peak,Stable,0.59,Route recalculation needed due to traffic jam ahead. Vehicle speed: 22 km/h.,0.487
16,Infotainment,Low,4779,300,54,Highway,Good,0.12,802758950,Cost-Sensitive,Peak,High-Mobility,0.51,Video playback requested while vehicle is moving in highway area. User is cost-sensitive.,0.378
17,Navigation,Low,562,200,79,Highway,Good,9.68,3079342492,Cost-Sensitive,Peak,Stable,0.3,Route recalculation needed due to accident ahead. Vehicle speed: 79 km/h.,0.465
18,V2X Communication,Low,2899,200,94,Urban,Fair,0.15,9638132851,Cost-Sensitive,Off-Peak,Stable,0.57,Vehicle-to-vehicle alert for intersection in Urban area. Network: Fair.,0.678
19,Safety,High,609,300,74,Highway,Good,1.12,9863575322,Balanced,Off-Peak,High-Mobility,0.69,Emergency lane change needed at 74 km/h in highway area during off-peak time. Network: good.,0.892
20,Navigation,High,3722,50,117,Rural,Fair,3.21,5043756011,Cost-Sensitive,Off-Peak,Stable,0.87,Route recalculation needed due to traffic jam ahead. Vehicle speed: 117 km/h.,0.892
21,Infotainment,Low,4633,100,15,Rural,Excellent,8.09,4152799508,Latency-Oriented,Off-Peak,High-Mobility,0.64,Video playback requested while vehicle is moving in rural area. User is latency-oriented.,0.376
22,V2X Communication,Medium,3393,1000,7,Urban,Fair,9.62,2842448058,Cost-Sensitive,Off-Peak,High-Mobility,0.76,Vehicle-to-pedestrian alert for hazard in Urban area. Network: Fair.,0.654
23,Navigation,High,4120,50,3,Rural,Fair,7.92,9867679928,Cost-Sensitive,Off-Peak,High-Mobility,0.16,Route recalculation needed due to accident ahead. Vehicle speed: 3 km/h.,0.876
24,Safety,Low,4849,50,103,Rural,Congested,6.94,4326151810,Cost-Sensitive,Peak,Stable,0.46,Emergency collision avoidance needed at 103 km/h in rural area during peak time. Network: congested.,0.756
25,Safety,High,1520,800,3,Urban,Fair,5.26,8235094139,Latency-Oriented,Off-Peak,High-Mobility,0.01,Emergency lane change needed at 3 km/h in urban area during off-peak time. Network: fair.,0.756
26,Diagnostics,High,630,1000,55,Highway,Fair,0.96,5382614798,Balanced,Peak,Stable,0.25,Predictive maintenance for battery while vehicle moves at 55 km/h. Network condition: Fair.,0.678
27,Diagnostics,Medium,2344,1000,24,Highway,Excellent,9.59,5310245052,Latency-Oriented,Off-Peak,High-Mobility,0.73,Predictive maintenance for battery while vehicle moves at 24 km/h. Network condition: Excellent.,0.658
28,Infotainment,Low,3197,50,66,Highway,Congested,7.61,8823654463,Balanced,Off-Peak,High-Mobility,0.99,Music streaming requested while vehicle is moving in highway area. User is balanced.,0.358
29,Navigation,Low,4299,500,95,Urban,Poor,6.43,2898887704,Balanced,Peak,High-Mobility,0.1,Route recalculation needed due to road closure ahead. Vehicle speed: 95 km/h.,0.467
30,Navigation,Medium,1729,800,66,Rural,Excellent,7.61,8107357710,Cost-Sensitive,Peak,Stable,0.4,Route recalculation needed due to accident ahead. Vehicle speed: 66 km/h.,0.578
31,Diagnostics,Medium,3556,800,26,Highway,Excellent,7.27,3830708112,Balanced,Peak,Stable,0.8,Predictive maintenance for battery while vehicle moves at 26 km/h. Network condition: Excellent.,0.578
32,Navigation,Low,2794,200,92,Highway,Poor,6.41,3435458100,Latency-Oriented,Peak,Stable,0.2,Route recalculation needed due to road closure ahead. Vehicle speed: 92 km/h.,0.456
33,Navigation,Low,3406,1000,31,Urban,Fair,9.81,7663540467,Latency-Oriented,Off-Peak,High-Mobility,0.56,Route recalculation needed due to traffic jam ahead. Vehicle speed: 31 km/h.,0.456
34,Safety,Medium,4095,50,49,Highway,Good,9.04,663692479,Balanced,Peak,High-Mobility,0.73,Emergency collision avoidance needed at 49 km/h in highway area during peak time. Network: good.,0.85
35,Diagnostics,High,1293,200,60,Urban,Congested,6.5,7043460226,Cost-Sensitive,Off-Peak,Stable,0.62,Predictive maintenance for battery while vehicle moves at 60 km/h. Network condition: Congested.,0.854
36,V2X Communication,High,3168,300,50,Rural,Good,6.96,4898802125,Cost-Sensitive,Peak,Stable,0.19,Vehicle-to-infrastructure alert for hazard in Rural area. Network: Good.,0.825
